hole,from_m,to_m,width_cm,angle_deg,minerals
LD-16-001A,17.26,17.38,7.5,65.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,25.2,25.37,9.0,40.0,"Cb,Qz,Cp,Po"
LD-16-001A,44.05,44.14,4.0,45.0,"Cb,Ep,Qz,Py,Cp"
LD-16-001A,47.19,47.48,2.0,15.0,"Qz,Sr"
LD-16-001A,63.74,63.87,3.0,30.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,73.7,73.75,2.0,45.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,83.23,83.35,3.5,40.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,87.48,87.56,4.5,35.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,96.03,96.2,10.0,65.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,118.04,118.13,2.0,40.0,"Cb,Qz,Cp,Po"
LD-16-001A,120.0,120.11,7.5,65.0,"Cb,Qz,Cp,Po"
LD-16-001A,150.79,150.89,4.0,55.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,157.36,157.42,2.0,60.0,"Cb,Ep,Py,Cp,Po"
LD-16-001A,166.59,166.74,12.5,65.0,"Qz,Cb,Sr,Py,Cp"
LD-16-001A,172.47,172.62,4.0,35.0,"Cb,Qz,Ep,Cp"
LD-16-001A,181.07,181.19,7.0,65.0,"Cb,Qz,Cp"
LD-16-001A,181.51,181.61,5.0,55.0,"Qz,Cb,Cp,Po"
LD-16-001A,202.86,202.94,2.0,45.0,"Cb,Qz,Ep,Cp"
LD-16-001A,203.73,203.78,2.0,60.0,"Cb,Qz,Cp,Po"
LD-16-001A,223.26,223.42,7.0,65.0,"Cb,Ep,Qz,Cp"
LD-16-001A,230.13,230.24,8.0,80.0,"Cb,Qz,Cp"
LD-16-001A,250.85,250.92,3.0,45.0,"Cb,Qz,Cp,Po"
LD-16-001A,261.55,261.7,2.0,30.0,"Qz,Cb,Su,Cp,Po"
LD-16-001A,319.86,319.96,4.5,50.0,"Cb,Ep,Cp,Po"
LD-16-001A,320.71,320.8,1.5,25.0,"Cb,Sr,Py,Cp,Po"
LD-16-001A,329.64,330.16,49.0,80.0,"Qz,Cb,Po"
LD-16-001A,330.38,330.45,3.0,70.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,341.87,341.93,2.0,60.0,"Cb,Qz,Ep,Cp,Po"
LD-16-001A,350.95,351.11,2.0,30.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,368.18,368.25,3.5,80.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,383.48,383.58,2.5,45.0,"Cb,Sr,Qz,Py,Cp,Po"
LD-16-001A,388.73,388.79,3.0,65.0,"Cb,Ep,Qz,Cp,Po"
LD-16-001A,408.38,408.49,3.5,35.0,"Cb,Ep,Sr,Py,Cp,Po"
LD-16-001A,409.54,409.68,4.0,60.0,"Cb,Ep,Sr,Py,Cp,Po"
LD-16-001A,411.56,411.66,2.5,45.0,"Cb,Qz,Ep,Py,Cp,Po"
LD-16-001A,417.07,417.18,9.5,70.0,"Cb,Qz,Ep,Cp,Po"
LD-16-001A,419.51,419.56,2.5,65.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,421.98,422.67,2.0,10.0,"Qz,Cb,Cp,Po"
LD-16-001A,458.12,458.22,6.0,55.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,459.54,459.62,3.0,45.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,476.05,476.14,2.0,45.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,486.13,486.25,10.0,75.0,"Cb,Ep,Py,Cp,Po"
LD-16-001A,491.32,491.42,7.0,60.0,"Cb,Sr,Py,Cp,Po"
LD-16-001A,499.2,499.34,6.5,50.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,503.75,503.84,6.0,70.0,"Cb,Ep,Qz,Cp,Po"
LD-16-001A,511.59,511.67,2.0,50.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,512.76,512.97,9.0,30.0,"Qz,Cb,Cp,Po"
LD-16-001A,513.15,513.42,4.0,35.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,516.24,516.34,5.0,55.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,519.69,519.79,5.0,55.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,521.91,522.57,63.0,65.0,"Cb,Qz,Cp,Po"
LD-16-001A,522.96,523.05,2.5,40.0,"Cb,Qz,Cp,Po"
LD-16-001A,525.83,525.97,3.0,45.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,528.32,528.46,9.0,70.0,"Qz,Cb,Cp,Po"
LD-16-001A,541.57,541.79,2.0,10.0,"Cb,Qz,Sr,Py,Cp,Po"
LD-16-001A,543.88,544.0,2.0,35.0,"Cb,Ep,Cp,Po"
LD-16-001A,587.48,587.57,4.0,35.0,"Cb,Qz,Cp,Po"
LD-16-001A,589.52,589.58,2.5,50.0,"Cb,Qz,Cp,Po"
LD-16-001A,604.75,604.9,11.0,65.0,"Qz,Cb,Cp"
LD-16-001A,608.94,609.01,5.0,80.0,"Cb,Ep,Qz,Cp"
LD-16-001A,612.81,612.89,2.0,25.0,"Qz,Ep,Cb,Cp,Po"
LD-16-001A,619.03,619.4,2.0,10.0,"Ep,Cb,Cp"
LD-16-001A,619.85,619.97,1.5,30.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,628.92,628.98,5.0,80.0,"Cb,Qz,Cp"
LD-16-001A,743.44,743.63,5.0,30.0,"Cb,Qz,Cp"
LD-16-001A,811.39,811.9,4.0,10.0,"Cb,Qz,Cp"
LD-16-001A,812.49,812.79,2.0,20.0,"Qz,Cb,Cp"
LD-16-001A,893.15,893.41,2.0,15.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,962.95,963.01,2.0,40.0,"Cb,Qz,Ep,Py,Cp,Po"
LD-16-001A,971.8,971.89,5.0,45.0,"Cb,Qz,Ep,Cp,Po"
LD-16-001A,977.32,977.38,3.0,45.0,"Cb,Qz,Cp,Po"
LD-16-001A,998.07,998.37,14.0,30.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,1002.27,1002.38,6.0,45.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,1093.2,1093.3,7.0,45.0,"Cb,Qz,Cp,Po"
LD-16-001A,1254.7,1255.06,25.0,40.0,"Qz,Cb,Po"
LD-16-001A,1273.73,1273.77,2.0,65.0,"Cb,Qz,Cp,Po"
LD-16-001A,1290.16,1290.3,6.0,45.0,"Qz,Cb,Cp,Po"
LD-16-001A,1290.33,1290.39,2.0,45.0,"Cb,Qz,Cp,Po"
LD-16-001A,1292.6,1292.74,11.0,75.0,"Qz,Cb,Cp,Po"
LD-16-001A,1336.72,1337.0,3.0,30.0,"Cb,Qz,Py,Cp,Po"
LD-16-001A,1357.38,1357.56,3.0,20.0,"Cb,Qz,Ep,Po"
LD-16-001A,1360.41,1360.67,1.0,5.0,"Qz,Po"
LD-16-001A,1361.64,1361.83,1.0,15.0,"Qz,Po"
LD-16-001A,1361.97,1362.14,1.0,10.0,"Cb,Su,Qz,Po"
LD-16-001A,1382.84,1383.06,10.0,40.0,"Qz,Cb,Po"
LD-16-001A,1388.14,1388.21,4.0,65.0,"Qz,Cb,Cp,Po"
LD-16-001A,1388.59,1388.65,5.0,65.0,"Qz,Cb,Cp,Po"
LD-16-001A,1389.65,1389.75,7.0,70.0,"Qz,Cb,Cp,Po"
LD-16-001A,1407.95,1408.03,5.0,65.0,"Cb,Qz,Cp,Po"
LD-16-001A,1409.69,1409.74,3.0,80.0,"Cb,Qz,Cp,Po"
LD-16-001A,1418.13,1418.23,4.0,30.0,"Cb,Qz,Cp,Po"
LD-16-001A,1427.29,1427.43,6.0,40.0,"Cb,Qz,Cp,Po"
LD-16-001A,1471.23,1471.29,1.5,50.0,"Qz,Cb,Cp,Po"
LD-16-001A,1471.93,1472.38,35.0,65.0,"Qz,Cb,Cp,Po"
LD-16-001A,1473.34,1473.36,1.0,85.0,"Qz,Cb,Cp,Po"
LD-16-001A,1474.69,1474.73,2.5,85.0,"Qz,Cb,Cp,Po"
LD-16-001A,1476.03,1476.15,1.5,30.0,"Cb,Qz,Cp,Po"
LD-16-001A,1489.48,1489.52,3.0,75.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,1624.4,1625.7,2.0,15.0,"Qz,Cb,Cp"
LD-16-001A,1637.83,1637.9,4.5,65.0,"Cb,Qz,Py,Cp"
LD-16-001A,1642.63,1642.81,17.0,80.0,"Cb,Qz,Cp"
LD-16-001A,1649.89,1649.96,5.0,75.0,"Cb,Qz,Cp"
LD-16-001A,1659.83,1659.92,5.0,50.0,"Cb,Qz,Py,Cp"
LD-16-001A,1690.68,1690.76,4.0,60.0,"Qz,Cb,Cp"
LD-16-001A,1696.44,1696.55,7.0,75.0,"Qz,Cb,Cp"
LD-16-001A,1696.67,1696.79,6.0,45.0,"Qz,Cp,Po"
LD-16-001A,1696.81,1697.24,35.0,50.0,"Qz,Cb"
LD-16-001A,1697.29,1697.4,6.0,45.0,"Qz,Cp,Po"
LD-16-001A,1710.12,1710.78,42.0,25.0,"Qz,Cb"
LD-16-001A,1711.22,1712.15,85.0,65.0,"Qz,Cb"
LD-16-001A,1785.99,1786.12,7.0,50.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,1794.75,1795.08,23.0,25.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,1804.48,1804.56,7.0,70.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,1817.24,1824.31,5.0,65.0,"Qz,Cb,Py,Cp,Po"
LD-16-001A,1833.19,1833.44,10.0,30.0,"Qz,Ab,Py,Cp,Po"
LD-16-001A,1899.23,1899.3,2.0,40.0,"Qz,Cb"
LD-16-001A,1908.81,1908.89,2.0,50.0,"Qz,Su,Ab"
LD-16-001A,1916.51,1916.6,2.0,40.0,Qz
LD-16-001A,2017.09,2017.17,2.0,50.0,"Qz,Cb"
LD-16-001A,2023.39,2023.48,3.0,50.0,"Cb,Qz,Ep,Py,Cp,Po"
LD-16-001A,2046.15,2046.47,25.0,45.0,"Qz,Cb"
LD-16-001A,2050.5,2050.79,9.0,35.0,Qz
SO-16-003,68.17,68.18,1.0,60.0,Cb
SO-16-003,68.27,68.28,1.0,,"Cb,Qz"
SO-16-003,88.54,88.55,1.0,70.0,
SO-16-003,91.0,91.05,4.5,,"Cb,Ab"
SO-16-003,107.77,107.8,3.0,,"Ab,Qz,Cb"
SO-16-003,155.58,155.59,1.0,,"Cb,Qz"
SO-16-003,160.33,160.33,1.0,60.0,Cc
SO-16-003,187.95,188.35,3.0,,"Cc,Qz"
SO-16-003,188.42,188.46,4.0,80.0,Cb
SO-16-003,189.14,189.18,4.0,,"Qz,Cb"
SO-16-003,207.92,308.07,13.0,,"Cb,Cc,Cp"
SO-16-003,285.25,285.27,2.0,80.0,Po
SO-16-003,323.17,323.19,2.0,30.0,"Cb,Qz,Cc"
SO-16-003,332.27,332.36,8.5,25.0,
SO-16-003,334.43,334.44,1.0,80.0,Cb
SO-16-003,421.75,421.8,5.0,65.0,
SO-16-003,426.42,426.45,2.5,35.0,Cb
SO-16-003,428.55,428.6,4.5,,Cb
SO-16-003,433.88,433.92,4.0,35.0,"Cb,Qz"
SO-16-003,450.8,450.01,1.0,38.08,
SO-16-003,459.76,459.77,1.0,30.0,"Cb,Sr,Po"
SO-16-003,468.63,488.64,1.0,,Cb
SO-16-003,470.64,476.65,1.0,,"Cb,Qz,Sr"
SO-16-003,508.85,508.88,1.0,70.0,
SO-16-003,512.68,512.89,1.0,,
SO-16-003,524.44,524.47,2.7,,"Cb,Cb"
SO-16-003,534.04,534.05,1.0,50.0,Cb
SO-16-003,565.94,565.95,1.0,35.0,Cb
SO-16-003,566.83,586.88,4.5,,"Cb,Cp"
SO-16-003,590.02,590.03,1.0,75.0,Cb
SO-16-003,500.47,590.5,3.0,,Cb
SO-16-003,608.47,608.5,3.0,,"Cb,Qz,Ab"
SO-16-003,616.0,616.01,1.0,35.0,Cb
SO-16-003,618.19,618.22,3.0,30.0,"Cb,Sr"
SO-16-003,630.74,630.75,1.0,35.0,Cb
SO-16-003,531.5,631.53,3.0,75.0,"Cb,Cp"
SO-16-003,645.51,645.52,1.0,50.0,Cb
SO-16-003,665.79,655.83,3.0,,"Cb,Qz,Sr"
SO-16-003,658.05,656.08,3.0,,"Cb,Sr"
SO-16-003,672.27,672.28,1.0,40.0,"Cb,Qz"
SO-16-003,681.53,681.55,2.0,70.0,
SO-16-003,684.54,684.56,2.0,,Sr
SO-16-003,891.15,891.18,1.0,86.0,Cb
SO-16-003,691.83,691.84,1.0,45.0,"Cb,Sr"
SO-16-003,712.62,712.63,1.0,45.0,"Cb,Sr"
SO-16-003,755.46,755.47,1.0,,"Cb,Po"
SO-16-003,758.03,758.4,1.0,50.0,"Cb,Sr,Cp"
SO-16-003,762.13,762.15,2.0,55.0,Cb
SO-16-003,762.56,762.57,1.0,50.0,"Cb,Sr"
SO-16-003,763.46,763.47,1.0,40.0,"Cb,Sr,Po"
SO-16-003,783.04,783.05,1.0,,Cb
SO-16-003,792.45,792.47,2.0,,"Cb,Po"
SO-16-003,818.67,818.68,1.0,,"Cb,Sr,Po"
SV-16-009,54.34,54.46,5.0,80.0,Cb
SV-16-009,75.9,82.0,8.0,50.0,Cb
SV-16-009,96.45,96.54,2.0,40.0,"Qz,Cb,Py,Cp,Po"
SV-16-009,98.31,98.41,3.0,50.0,"Qz,Cb,Py,Cp,Po"
SV-16-009,114.23,114.3,2.5,55.0,"Qz,Cb,Cp,Po"
SV-16-009,132.98,133.09,2.5,70.0,Cb
SV-16-009,133.2,133.34,5.0,,Cb
SV-16-009,144.56,144.63,4.5,70.0,Cb
SV-16-009,146.47,146.58,3.0,75.0,Cp
SV-16-009,146.75,147.3,40.0,,
SV-16-009,162.4,162.53,7.0,,
SV-16-009,162.53,102.0,4.0,,
SV-16-009,182.56,182.64,3.0,,"Cb,Po"
SV-16-009,196.6,196.8,0.0,45.0,Cb
SV-16-009,206.4,206.59,8.5,70.0,"Qz,Cb,Cp,Po"
SV-16-009,207.77,207.98,7.0,75.0,"Qz,Cp,Po"
SV-16-009,208.92,209.0,6.0,80.0,"Qz,Cp,Po"
SV-16-009,209.7,210.07,30.0,85.0,"Qz,Cb,Cp,Po"
SV-16-009,220.37,220.63,8.0,40.0,"Qz,Ep,Cp,Po"
SV-16-009,224.15,224.3,6.0,,"Qz,Cb,Py,Cp,Po"
SV-16-009,224.35,224.64,10.0,45.0,"Qz,Cb,Py,Cp,Po"
SV-16-009,255.85,256.06,11.0,45.0,"Qz,Cp,Po"
SV-16-009,256.25,256.35,5.5,70.0,"Qz,Cp,Po"
SV-16-009,256.8,267.08,14.0,,Po
SV-16-009,267.17,267.42,9.0,,Cp
SV-16-009,287.13,287.25,7.0,80.0,Cb
SV-16-009,287.7,287.9,7.0,60.0,"Qz,Cb,Cp"
SV-16-009,288.52,288.59,1.5,55.0,Cb
SV-16-009,296.71,296.82,5.0,60.0,"Qz,Cb,Cp,Po"
SV-16-009,304.49,304.55,3.0,80.0,"Qz,Cb,Cp,Po"
SV-16-009,305.29,305.35,2.0,,"Qz,Cb,Cp,Po"
SV-16-009,312.17,312.25,3.5,50.0,"Qz,Cc,Cp,Po"
SV-16-009,353.72,354.06,24.0,80.0,Cb
SV-16-009,354.15,354.36,18.0,,Cp
SV-16-009,356.21,356.29,8.0,85.0,"Qz,Cp"
SV-16-009,380.21,380.35,2.0,10.0,
SV-16-009,361.22,361.42,8.0,85.0,Cb
SV-16-011,15.34,15.67,11.0,,Qz
SV-16-011,15.67,16.08,25.0,,
SV-16-011,42.74,42.8,3.0,,
SV-16-011,52.15,52.24,2.0,40.0,Py
SV-16-011,92.97,93.07,5.0,50.0,"Qz,Cb,Py,Cp,Po"
SV-16-011,112.1,112.3,2.0,30.0,Cp
SV-16-011,138.89,138.36,20.0,70.0,Cb
SV-16-011,188.86,138.7,2.0,,"Cb,Po"
SV-16-011,179.94,180.21,5.0,,Po
SV-16-011,181.14,181.23,2.5,45.0,"Qz,Cb,Cp,Po"
SV-16-011,193.88,193.98,3.0,,"Qz,Cb"
SV-16-011,210.31,210.43,5.0,80.0,"Qz,Py,Po"
SV-16-011,210.43,210.71,5.5,45.0,"Qz,Cp,Po"
SV-16-011,214.0,214.22,1.0,30.0,"Qz,Cb,Cp,Po"
SV-16-011,258.29,258.35,3.0,70.0,Cb
SV-16-011,281.37,281.49,4.0,45.0,"Qz,Cp,Po"
SV-16-011,345.24,348.3,2.0,80.0,"Cb,Po"
SV-16-011,357.07,357.25,15.0,,"Cb,Cp"
SV-16-011,384.2,386.7,1.0,20.0,"Qz,Cb"
SV-16-011,391.97,392.25,4.0,,
SV-16-011,416.26,416.75,3.0,,Cb
SV-16-011,420.98,421.08,4.0,,Cp
SV-16-011,438.31,438.42,5.0,,Cb
